Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10μF,C_0805_2012Metric,172.8216,-50.8508,0,top
C2,0.1μF,C_0402_1005Metric,148.209,-59.1185,0,top
C3,0.1μF,C_0402_1005Metric,183.5404,-55.6768,90,top
C4,0.1μF,C_0402_1005Metric,123.5985,-87.3125,0,top
C5,0.1μF,C_0402_1005Metric,148.1836,-68.6816,0,top
C6,1μF,C_0603_1608Metric,181.0512,-55.7276,90,top
C7,0.1μF,C_0402_1005Metric,149.606,-55.245,90,top
C8,0.1μF,C_0402_1005Metric,170.561,-69.215,180,top
C9,0.1μF,C_0402_1005Metric,168.402,-81.661,270,top
C10,0.1μF,C_0402_1005Metric,121.412,-55.118,90,top
C11,0.1μF,C_0402_1005Metric,110.871,-70.485,180,top
C12,0.1μF,C_0402_1005Metric,108.458,-80.645,0,top
C13,3.9pF,C_0402_1005Metric,123.7615,-82.6135,0,top
C14,3.9pF,C_0402_1005Metric,123.9012,-91.1352,180,top
C15,3.9pF,C_0402_1005Metric,135.636,-88.011,180,top
C16,3.9pF,C_0402_1005Metric,134.747,-81.407,0,top
D3,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,188.468,-77.978,90,top
D4,B160-13-F,D_SMA,91.842846,-38.688269,90,top
D5,B160-13-F,D_SMA,98.363846,-38.751769,90,top
D6,B160-13-F,D_SMA,111.596346,-38.688269,90,top
D7,19-213/Y2C-CQ2R2L/3T,LED_0603_1608Metric,188.468,-71.882,90,top
D8,B160-13-F,D_SMA,105.011846,-47.821769,90,top
D9,B160-13-F,D_SMA,105.011846,-38.751769,90,top
D10,B160-13-F,D_SMA,98.363846,-47.821769,90,top
D11,B160-13-F,D_SMA,150.495,-85.4075,0,top
D12,11-21/BHC-AQ2S1M/2T,LED_1206_3216Metric,174.752,-121.92,0,top
D13,11-21/BHC-AQ2S1M/2T,LED_1206_3216Metric,149.352,-121.92,0,top
D14,B160-13-F,D_SMA,111.596346,-47.821769,90,top
D15,B160-13-F,D_SMA,111.596346,-56.891769,90,top
D16,B160-13-F,D_SMA,91.842846,-47.821769,90,top
D17,B160-13-F,D_SMA,150.622,-90.3605,0,top
D18,B160-13-F,D_SMA,98.363846,-56.891769,90,top
D19,B160-13-F,D_SMA,105.011846,-56.891769,90,top
D20,B160-13-F,D_SMA,91.842846,-56.891769,90,top
D21,B160-13-F,D_SMA,141.5415,-85.4075,0,top
D22,11-21/BHC-AQ2S1M/2T,LED_1206_3216Metric,123.066,-121.92,0,top
D23,11-21/BHC-AQ2S1M/2T,LED_1206_3216Metric,96.39,-121.92,0,top
D24,B160-13-F,D_SMA,141.5415,-90.3605,0,top
Q2,ULN2803ADWR,SOIC-18W_7.5x11.6mm_P1.27mm,178.562,-75.692,180,top
Q3,ULN2803ADWR,SOIC-18W_7.5x11.6mm_P1.27mm,161.163,-75.692,0,top
Q4,ULN2803ADWR,SOIC-18W_7.5x11.6mm_P1.27mm,118.237,-75.565,180,top
Q5,ULN2803ADWR,SOIC-18W_7.5x11.6mm_P1.27mm,100.965,-75.565,0,top
Q6,DMN10H220L-7,SOT-23,171.0055,-57.023,180,top
Q7,DMN10H220L-7,SOT-23,178.0032,-57.0484,180,top
Q8,DMN10H220L-7,SOT-23,177.6095,-88.9635,0,top
Q9,DMN10H220L-7,SOT-23,162.179,-89.027,0,top
Q10,DMN10H220L-7,SOT-23,114.935,-88.9,0,top
Q11,DMN10H220L-7,SOT-23,98.806,-88.9,0,top
Q12,DMN10H220L-7,SOT-23,176.6824,-62.8904,180,top
R2,10KΩ,R_0402_1005Metric,137.0965,-59.182,0,top
R3,169Ω,R_0805_2012Metric,165.3032,-64.6176,180,top
R4,1MΩ,R_0402_1005Metric,123.7615,-83.8835,0,top
R5,1MΩ,R_0402_1005Metric,123.9012,-92.6084,180,top
R6,1MΩ,R_0402_1005Metric,135.636,-89.8525,180,top
R7,1MΩ,R_0402_1005Metric,134.747,-83.5025,0,top
R8,10KΩ,R_0402_1005Metric,148.1455,-71.501,0,top
R9,10KΩ,R_0402_1005Metric,177.1015,-85.471,180,top
R10,10KΩ,R_0402_1005Metric,161.671,-85.344,180,top
R11,10KΩ,R_0402_1005Metric,114.427,-85.09,180,top
R12,10KΩ,R_0402_1005Metric,172.72,-61.722,270,top
R13,10KΩ,R_0402_1005Metric,175.133,-59.436,270,top
R14,10KΩ,R_0402_1005Metric,98.298,-85.2805,180,top
R15,4.7kΩ,R_0402_1005Metric,180.1876,-61.8236,0,top
R16,10KΩ,R_0402_1005Metric,170.688,-53.975,90,top
R17,10KΩ,R_0402_1005Metric,168.148,-53.975,90,top
R18,4.7kΩ,R_0402_1005Metric,180.2384,-63.9064,0,top
R20,100Ω,R_2512_6332Metric,182.0545,-86.9315,270,top
R21,100Ω,R_2512_6332Metric,166.5605,-86.9315,270,top
R22,432Ω,R_0805_2012Metric,173.4185,-86.36,270,top
R23,432Ω,R_0805_2012Metric,158.6865,-87.376,270,top
R24,100Ω,R_2512_6332Metric,119.4435,-86.868,270,top
R25,100Ω,R_2512_6332Metric,103.8225,-86.868,270,top
R26,432Ω,R_0805_2012Metric,110.9345,-87.0585,270,top
R27,432Ω,R_0805_2012Metric,95.3135,-86.868,270,top
R28,432Ω,R_0805_2012Metric,165.3032,-67.564,180,top
U1,PCA9685PW,TSSOP-28_4.4x9.7mm_P0.65mm,141.732,-73.787,0,top
U2,ADS1115IDGSR,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,141.859,-59.69,0,top
U3,LM324DR,SOIC-14_3.9x8.7mm_P1.27mm,129.286,-87.3125,0,top
U7,MCP23017-E/SO,SOIC-28W_7.5x17.9mm_P1.27mm,156.337,-54.61,0,top
U8,MCP23017-E/SO,SOIC-28W_7.5x17.9mm_P1.27mm,128.016,-54.737,0,top
